Class Code,Class Title,Class Description,Credit Hours,Class Instructors,Academic Career
CVEN 5246,Legal Aspects of Construction,"Applies law in engineering practice; contracts, construction contract documents, construction specification writing, agency, partnership, and property; types of construction contracts; and legal responsibilities and ethical requirements of the professional engineer. Recommended restriction: graduate standing or department consent required. Taught intermittently.",3,M. Zehner,GRAD
CVEN 5161,Advanced Mechanics of Materials I,"Covers advanced topics in the mechanics of solids. Some topics such as asymmetric bending of beams, torsion of non-circular cross-sections, are extensions of topics seen in <a href=""/search/?p=CVEN%203161"" data-action=""result-detail"" data-group=""code:CVEN 3161"" >CVEN 3161</a>. Others like 3-D stress and strain analysis, failure theories and stability of columns and frames are new. Includes selected laboratory experiments. Same as <a href=""/search/?p=CVEN%204161"" data-action=""result-detail"" data-group=""code:CVEN 4161"" >CVEN 4161</a>.",Varies by section,M. Hubler,GRAD
CVEN 5111,Structural Dynamics,"Focuses on the response of single- and multi-degree of freedom structures subjected to harmonic, impulsive and arbitrary loads (including earthquake base excitation). Sources and modeling of damping will be discussed. Analytical and numerical solutions will be considered for both linear and nonlinear structural systems. Elastic and inelastic response spectra will be discussed.",3,A. Liel,GRAD
CVEN 4849,Independent Study,"Involves an independent, in-depth study, research, or design in a selected area of civil or environmental engineering. Offerings are coordinated with individual faculty. Students should consult the Department of Civil, Environmental, and Architectural Engineering. May be repeated up to 6 total credit hours.",3,"K. Linden, J. Scheib, Z. Zhai, J. Crimaldi, S. Bhandari, M. Hannigan, C. Torres-Machi, G. Henze, R. Kuchenrither, J. Song, S. Madabhushi, M. Hubler, A. Celoza, F. Pourahmadian, B. Livneh, C. Mansfeldt, G. Hearn, R. Balaji, E. Zagona, S. Miller, S. Vasconez, R. Pak, A. Liel, S. Dashti, M. Gooseff, J. Silverstein, B. Wham, Y. Zhang, J. Pellegrino, J. Arehart, J. Hertzberg, F. Rosario-Ortiz, M. Krarti, R. Neupauer, A. Javernick-Will, J. Ryan, R. Regueiro, C. Senseney, M. Hallowell, J. Milford, A. Bielefeldt, M. Hernandez, Y. Xi, D. McKnight, K. Baker, E. Thomas, C. Salvinelli, S. Cook, K. Molenaar, A. Straub, R. Klees, M. Jongewaard, M. Morris, A. Bolhari, J. Kasprzyk, A. Bhaskar, W. Srubar, P. Goodrum, S. Masters, J. Korak, M. Vance, D. Henze, K. Sholtes, J. Sholtes, U. Techera Rocha",UGRD
CVEN 5333,Physical Hydrology,"Introduces hydrology as a quantitative science describing the occurrence, distribution and movement of water at and near the surface of the earth.  Develops a quantitative understanding of atmospheric water, infiltration, evapotranspiration and surface runoff.  Studies global climatology and large scale climate drivers of regional hydrology at interannual time scales. Solves engineering problems related to water resources. Recommended prerequisite: <a href=""/search/?p=CVEN%204333"" data-action=""result-detail"" data-group=""code:CVEN 4333"" >CVEN 4333</a>.",3,B. Livneh,GRAD
CVEN 5313,Environmental Fluid Mechanics,"Analysis of viscous incompressible flows, with first-principle solutions for environmental fluid flows in oceans, rivers, lakes and the atmosphere. Topics include the Navier-Stokes equations, kinematics, vorticity dynamics, geophysical fluid dynamics, and density stratification. Recommended prerequisites: <a href=""/search/?p=APPM%202350"" data-action=""result-detail"" data-group=""code:APPM 2350"" >APPM 2350</a> and <a href=""/search/?p=APPM%202360"" data-action=""result-detail"" data-group=""code:APPM 2360"" >APPM 2360</a> and <a href=""/search/?p=CVEN%203313"" data-action=""result-detail"" data-group=""code:CVEN 3313"" >CVEN 3313</a>.",3,J. Crimaldi,GRAD
CVEN 5323,Applied Stream Ecology,"Emphasizes the integration of hydrologic, chemical, and biological processes in controlling river, stream, and reservoir ecosystems at several spatial scales. Students apply ecosystem concepts to current environmental and water quality problems and learn field methods in field trips and a team project.",3,D. McKnight,GRAD
CVEN 5346,Managing Construction and Engineering Projects and Organizations,"Explores organizational and managerial issues and concerns facing executives in engineering and construction organizations.  Through readings, case studies, simulation exercises, and projects, students are introduced to and apply concepts of strategy, core competencies, vision, innovation, team dynamics, interpersonal influence, organizational design issues, and global projects to engineering and construction organizations.",3,A. Javernick-Will,GRAD
CVEN 5446,Infrastructure Asset Management,"Introduces a framework that combines engineering principles with economic theory to facilitate a more organized and logical approach to decision-making in the management of infrastructure. Topics covered include asset valuation, modeling infrastructure deterioration, life-cycle cost analysis, and optimization. Although the concepts introduced in this course are applicable to different infrastructure systems, especial emphasis will be given to transportation projects.",3,C. Torres-Machi,GRAD
CVEN 5454,Statistical Methods for Natural and Engineered Systems,"Applies traditional and modern probability and statistical methods to environmental, hydrological, climatological and engineering data analysis.  Topics include:  basic probability, data visualization, fitting univariate and multivariate distributions, Monte Carlo simulations, extreme value distributions, confidence intervals and hypothesis testing, nonparametric density estimators, linear regression, and Bayesian analysis.  The data analysis tool, R, is used throughout the course.",3,R. Balaji,GRAD
CVEN 5404,Water Chemistry,"Introduces chemical fundamentals governing the chemistry of natural and treated waters. Topics include thermodynamics and kinetics of acid and base reactions, carbonate chemistry, air-water exchange, precipitation, dissolution, complexation, oxidation-reduction, and sorption.",3,J. Ryan,GRAD
CVEN 5464,Environmental Engineering Processes,"Develops and utilizes analytic solutions for environmental process models that can be used in a) reactor design for processes used in the treatment of water, wastewater and hazardous waste and b) process analysis of natural systems, such as streams and groundwater flow. Models facilitate the tracking of contaminants in engineered and natural systems. Same as <a href=""/search/?p=CVEN%204464"" data-action=""result-detail"" data-group=""code:CVEN 4464"" >CVEN 4464</a> and <a href=""/search/?p=EVEN%204464"" data-action=""result-detail"" data-group=""code:EVEN 4464"" >EVEN 4464</a>.",3,A. Straub,GRAD
CVEN 5353,Groundwater Hydrology,"Studies the occurrence, movement, extraction for use, and quantity and quality aspects of groundwater. Introduces and uses basic concepts to solve engineering and geohydrologic problems. Recommended prerequisites: <a href=""/search/?p=CVEN%203313"" data-action=""result-detail"" data-group=""code:CVEN 3313"" >CVEN 3313</a> or <a href=""/search/?p=AREN%202120"" data-action=""result-detail"" data-group=""code:AREN 2120""  class=""notoffered"">AREN 2120</a> or <a href=""/search/?p=CHEN%203200"" data-action=""result-detail"" data-group=""code:CHEN 3200""  class=""notoffered"">CHEN 3200</a> or <a href=""/search/?p=GEEN%203853"" data-action=""result-detail"" data-group=""code:GEEN 3853""  class=""notoffered"">GEEN 3853</a> or <a href=""/search/?p=MCEN%203021"" data-action=""result-detail"" data-group=""code:MCEN 3021"" >MCEN 3021</a> and <a href=""/search/?p=APPM%202360"" data-action=""result-detail"" data-group=""code:APPM 2360"" >APPM 2360</a>.",3,R. Neupauer,GRAD
CVEN 5511,Introduction to Finite Element Analysis,"Covers systematic formulation of finite element approximation and isoparametric interpolation (weighted residual and energy methods, triangular and quadrilateral elements). Includes computation applications to the solution of one- and two-dimensional stress-deformation problems and steady and transient heat conduction. Same as <a href=""/search/?p=CVEN%204511"" data-action=""result-detail"" data-group=""code:CVEN 4511"" >CVEN 4511</a>.",3,R. Regueiro,GRAD
CVEN 5514,Bioremediation,"Advanced study on biological processes used to treat toxic organic and inorganic compounds contained in contaminated water, air, and soil; design and evaluation of in situ toxic compound biotransformation; fundaments of phytoremediation; critical reviews of current literature on bioremediation. Recommended prerequisite: <a href=""/search/?p=CVEN%204484"" data-action=""result-detail"" data-group=""code:CVEN 4484""  class=""notoffered"">CVEN 4484</a> or <a href=""/search/?p=CVEN%205424"" data-action=""result-detail"" data-group=""code:CVEN 5424""  class=""notoffered"">CVEN 5424</a> or <a href=""/search/?p=CVEN%205484"" data-action=""result-detail"" data-group=""code:CVEN 5484""  class=""notoffered"">CVEN 5484</a>. Same as <a href=""/search/?p=EVEN%205514"" data-action=""result-detail"" data-group=""code:EVEN 5514""  class=""notoffered"">EVEN 5514</a>.",3,C. Mansfeldt,GRAD
